Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
3000,3000,60,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.1953808,21.0257126,,6,cegła,
2100,2700,62,2,blok,1,drewniane,miejskie,do zamieszkania,,,600,3,,2009
2250,2250,50,2,blok,4,drewniane,miejskie,do zamieszkania,52.1986108,21.0464264,530,6,cegła,2008
2200,,45,2,blok,2,plastikowe,miejskie,,52.2443969,20.9820228,,5,,
1950,1950,32,1,blok,7,plastikowe,miejskie,,52.1442398,21.0177838,,8,cegła,
2682,8048.78,42,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.265496623577775,20.946450920614577,,8,żelbet,2018
2700,3200,34,1,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,,,500,10,cegła,2019
17000,,100,2,apartamentowiec,> 10,,miejskie,do zamieszkania,52.231172,21.0038329,,52,beton,2017
16700,20000,131,3,,> 10,,miejskie,,52.231172,21.0038329,2800,52,cegła,2017
16000,,100,2,,> 10,aluminiowe,miejskie,,52.231172,21.0038329,,52,inne,2017
3500,3500,87,3,kamienica,1,plastikowe,miejskie,do zamieszkania,52.2366877,21.233267,,3,cegła,
1900,1900,42,2,blok,4,plastikowe,kotłownia,do zamieszkania,52.2265092,20.959465,,8,beton komórkowy,2000
2300,2300,35,2,blok,3,,,do zamieszkania,52.2478783,21.0636172,,7,,
17000,,100,2,blok,> 10,,miejskie,,52.23113,21.00247,,52,,2017
2900,,51,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,52.23236184,21.06405651,,5,,2008
2700,,39,2,blok,4,,,do zamieszkania,52.19018065710134,20.911711046093753,223,7,,2015
3200,,57,3,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.2291651,20.9780028,,8,cegła,2019
7000,,105,4,kamienica,1,drewniane,miejskie,do zamieszkania,,,,4,cegła,1931
5000,,84.5,4,kamienica,3,plastikowe,miejskie,do zamieszkania,,,700,4,cegła,1950
3300,3300,38,2,apartamentowiec,2,plastikowe,,do zamieszkania,52.226550389613124,20.956691209509273,,,,2019
1950,,46,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,,,,6,cegła,2009
1860,,30,1,,parter,,,,52.221388,20.9323083,,6,,2015
3500,3500,63,3,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.2228473522286,20.940101014819334,,7,silikat,2017
2600,,85,3,,3,,,,52.2423379,20.9102085,,8,,2008
3500,7000,39,2,blok,2,drewniane,miejskie,do zamieszkania,52.25852104414045,20.9710587512207,,6,,
2400,2500,55,2,blok,1,plastikowe,miejskie,do zamieszkania,52.3299565,20.9519249,470,2,,2012
1850,1850,29,1,blok,3,plastikowe,miejskie,do zamieszkania,52.26718437066225,20.97551810898438,0.01,10,wielka płyta,1966
2400,2000,35,2,blok,4,plastikowe,miejskie,do zamieszkania,52.21447519,20.96998662,,4,cegła,
2000,2000,36,2,blok,3,,,do zamieszkania,52.247068,21.1016718,,4,,
2300,2300,51,2,blok,parter,,,do zamieszkania,52.2314071,21.0720524,,3,,1960
8500,8500,53,2,apartamentowiec,> 10,,miejskie,,52.2348517,21.0007633,,44,inne,2014
6000,,40,1,,8,,miejskie,,52.2317447,20.9961082,,44,inne,2014
21000,,135,3,apartamentowiec,> 10,,miejskie,do zamieszkania,52.231172,21.0038329,,54,beton,2017
48000,,236,4,,> 10,aluminiowe,miejskie,,52.231172,21.0038329,,52,inne,2017
11000,,64,2,,> 10,aluminiowe,miejskie,,52.231172,21.0038329,,52,inne,2017
27000,,154,3,,> 10,aluminiowe,miejskie,,52.231172,21.0038329,,52,inne,2017
9000,18000,63,2,,> 10,,inne,,52.2310961,21.0034582,,52,inne,2017
9900,,103,2,,> 10,,miejskie,,52.231172,21.0038329,3100,52,cegła,2017
16000,,90,2,,> 10,aluminiowe,miejskie,,52.231172,21.0038329,,52,inne,2017
2300,1000,45,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.143398644765,21.10515962814582,530,3,żelbet,2012
4400,,75,3,apartamentowiec,1,drewniane,,do zamieszkania,,,,6,,2013
2200,2500,21,1,apartamentowiec,6,plastikowe,miejskie,do zamieszkania,,,300,,,2019
