Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
8200,9000.0,110.0,4,apartamentowiec,3,,,,,,,3.0,,,
2500,,38.0,2,,7,,,,,,,12.0,,,
1800,2300.0,52.0,2,blok,2,plastikowe,miejskie,,52.322105900000004,20.9394888,470.0,4.0,cegła,,54.0
3900,,55.0,2,apartamentowiec,3,drewniane,miejskie,do zamieszkania,52.23126913581314,21.03973926351628,,4.0,cegła,2018.0,21.0
2500,2900.0,33.0,2,apartamentowiec,3,,,,52.225941,20.956129999999998,,6.0,,2019.0,22.0
4400,,85.0,4,kamienica,1,drewniane,miejskie,do zamieszkania,52.27101345,20.97941314,,4.0,cegła,1937.0,26.0
4500,,86.0,3,,8,drewniane,miejskie,,,,350.0,8.0,cegła,2003.0,
2700,3800.0,53.4,3,blok,3,plastikowe,miejskie,,,,500.0,4.0,,1970.0,
1800,1800.0,39.0,1,blok,,,miejskie,,52.25298,20.992160000000002,,4.0,cegła,1956.0,24.0
2500,2500.0,39.6,2,blok,1,drewniane,miejskie,do zamieszkania,52.2312959,21.0862978,,3.0,,1999.0,38.0
2500,,38.0,2,,1,,,,52.2671722,20.9804729,,4.0,,2013.0,25.0
2900,,58.0,3,blok,9,,,,52.23120395,20.95437956,,10.0,wielka płyta,1970.0,24.0
4500,,80.0,3,kamienica,,,,,,,,,,,
4500,,60.0,3,kamienica,,,,,,,,,,,
2100,,21.0,1,,6,,miejskie,do zamieszkania,,,,12.0,,2019.0,
2900,,55.0,2,,3,,miejskie,,52.24625,21.08546,,16.0,,2009.0,27.0
2500,2900.0,55.0,3,kamienica,2,,miejskie,,52.262642299999996,21.0283922,400.0,3.0,cegła,1950.0,33.0
3300,3000.0,65.0,3,blok,2,plastikowe,miejskie,do zamieszkania,52.169481694957646,21.020124742960483,,10.0,,2009.0,36.0
2300,,47.2,2,apartamentowiec,5,,miejskie,do zamieszkania,52.24635,20.904410000000002,,6.0,cegła,2019.0,38.0
3000,3000.0,45.0,2,blok,3,plastikowe,miejskie,do zamieszkania,52.233838399999996,21.081776,1.0,8.0,,2018.0,33.0
5000,,64.0,3,apartamentowiec,5,,miejskie,do zamieszkania,52.2432119,20.981838800000002,,7.0,cegła,2016.0,28.0
2800,,35.0,2,blok,1,,miejskie,do zamieszkania,52.247220399999996,20.9984445,,7.0,cegła,1947.0,17.0
5999,,86.29,3,apartamentowiec,> 10,,miejskie,do zamieszkania,52.2547611,20.992988600000004,,11.0,pustak,2009.0,23.0
2050,2250.0,54.0,2,blok,3,plastikowe,miejskie,,52.328987899999994,21.0076792,,3.0,,2013.0,62.0
2300,,38.0,2,blok,6,plastikowe,miejskie,do zamieszkania,52.2274912,20.9900038,,11.0,cegła,1970.0,14.0
2400,,35.0,2,blok,7,plastikowe,gazowe,do zamieszkania,,,,7.0,cegła,2009.0,
3400,,76.0,3,apartamentowiec,2,,,do zamieszkania,52.16248710000001,21.077874899999998,,,cegła,2013.0,44.0
2500,,50.92,2,dom wolnostojący,parter,plastikowe,,,52.26,21.16,,2.0,inne,2019.0,30.0
3100,3100.0,52.0,2,blok,7,drewniane,miejskie,do zamieszkania,52.23503972034354,20.98032681213379,550.0,7.0,,2011.0,17.0
1899,,36.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.18426756823786,21.007999253442378,,8.0,żelbet,2017.0,37.0
1800,,39.0,1,blok,1,plastikowe,miejskie,do zamieszkania,52.2524116,20.9929645,,3.0,cegła,1959.0,26.0
2750,,42.0,2,apartamentowiec,10,,miejskie,do zamieszkania,52.2587866,20.9833788,500.0,16.0,,2016.0,30.0
3500,3500.0,57.0,3,blok,1,drewniane,miejskie,do zamieszkania,52.22297879999999,20.939500199999998,,3.0,cegła,2019.0,28.0
2500,,32.0,2,apartamentowiec,7,,miejskie,do zamieszkania,,,500.0,12.0,,2019.0,
2450,,45.0,2,apartamentowiec,> 10,,miejskie,do zamieszkania,,,550.0,,,2019.0,
4150,4500.0,75.0,3,apartamentowiec,parter,plastikowe,miejskie,do zamieszkania,,,850.0,4.0,,2007.0,
4000,4500.0,44.0,2,apartamentowiec,1,,,do zamieszkania,52.23614,21.00817,,4.0,cegła,2018.0,12.383333333333333
1999,,43.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.18408338086571,21.00795633809815,,8.0,żelbet,2017.0,36.0
3200,4000.0,40.0,2,kamienica,4,plastikowe,miejskie,do zamieszkania,52.21739,20.97525,600.0,5.0,cegła,1937.0,22.0
2700,2700.0,50.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.233129999999996,21.019000000000002,,10.0,beton komórkowy,1980.0,14.0
1800,,50.0,2,,1,,,,52.33852460000001,20.9357269,,4.0,,2002.0,66.0
1400,,33.0,1,,2,,,,52.2603049,20.9318509,,4.0,,,46.0
2500,,45.0,2,kamienica,1,plastikowe,miejskie,do zamieszkania,,,1.0,,,,
3300,3300.0,50.0,2,apartamentowiec,2,drewniane,,,52.195152,21.06354,,5.0,,2013.0,43.0
3000,3000.0,50.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.15613,21.111629999999998,1.0,3.0,cegła,2010.0,62.0
2300,3000.0,60.0,3,blok,3,plastikowe,miejskie,do zamieszkania,52.24521260982007,21.093973729641675,580.0,4.0,,1964.0,32.0
4190,1500.0,85.0,4,blok,parter,drewniane,miejskie,,52.133312701006396,21.06282849788666,,6.0,cegła,2007.0,35.0
2499,3000.0,43.0,2,blok,9,plastikowe,miejskie,do zamieszkania,52.268190999999995,20.958571600000003,280.0,10.0,,,32.0
8000,15000.0,109.1,5,apartamentowiec,4,,miejskie,do zamieszkania,,,,5.0,,2008.0,
2400,2400.0,50.0,2,blok,5,plastikowe,miejskie,do zamieszkania,52.2693986,21.051579,520.0,6.0,cegła,2019.0,30.0
2800,3000.0,43.0,2,kamienica,1,,,do zamieszkania,52.20087366685562,21.033177906898008,,,cegła,1930.0,26.0
2600,,43.0,2,apartamentowiec,parter,drewniane,miejskie,do zamieszkania,,,,2.0,,2018.0,
2600,3000.0,60.0,2,kamienica,1,plastikowe,miejskie,do zamieszkania,,,500.0,3.0,cegła,1938.0,
3000,,45.0,2,apartamentowiec,2,drewniane,,,,,,5.0,,2018.0,
2600,2500.0,49.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.1572118,21.078594199999998,,5.0,inne,2009.0,38.0
2800,4000.0,44.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,,,500.0,6.0,żelbet,2019.0,
2165,2165.0,50.0,2,kamienica,4,plastikowe,miejskie,do zamieszkania,52.20769089148893,21.021689096325684,685.0,5.0,cegła,1950.0,27.0
7000,7000.0,98.0,4,apartamentowiec,1,,,do zamieszkania,52.1608237,21.0780113,,4.0,,,44.0
3400,3400.0,36.0,2,apartamentowiec,5,drewniane,miejskie,,,,,6.0,cegła,2018.0,
2650,,55.0,2,apartamentowiec,3,plastikowe,miejskie,,52.292112200000005,21.0477683,,,cegła,2011.0,43.0
7000,7800.0,90.0,3,apartamentowiec,4,,,do zamieszkania,52.1608237,21.0780113,800.0,4.0,,,44.0
2700,3000.0,38.0,2,apartamentowiec,5,plastikowe,miejskie,,52.1750141,21.0444328,440.0,,cegła,,35.0
2500,2900.0,49.0,2,blok,9,drewniane,miejskie,do zamieszkania,52.23628,21.0051,400.0,15.0,żelbet,1970.0,11.0
3200,,38.0,2,apartamentowiec,> 10,,miejskie,,52.22722,20.95269,,11.0,cegła,2018.0,20.0
2600,2600.0,47.0,2,,3,drewniane,,do zamieszkania,,,,4.0,cegła,,
2000,2000.0,42.5,2,blok,3,plastikowe,miejskie,do zamieszkania,52.183919700000004,21.051911099999984,,4.0,wielka płyta,1972.0,35.0
2600,,45.0,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.22374595,20.96996599,,5.0,cegła,2018.0,25.0
2100,3000.0,56.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.156129799999995,21.1116283,550.0,3.0,cegła,2010.0,62.0
2400,2400.0,37.0,2,blok,6,,,do zamieszkania,52.20826901985527,20.999541811632678,200.0,,,,27.0
2650,2650.0,44.0,2,kamienica,1,plastikowe,miejskie,do zamieszkania,52.2402148,20.997582100000002,1.0,3.0,cegła,,19.0
1980,2900.0,45.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.33355810869873,20.94431361499172,430.0,4.0,cegła,,53.0
3550,5000.0,65.0,3,blok,3,plastikowe,gazowe,do zamieszkania,52.206471938006494,20.99991489145252,450.0,,beton,,27.0
2800,2800.0,55.0,2,,4,drewniane,,,,,,,,2011.0,
3600,,54.0,2,apartamentowiec,2,drewniane,miejskie,do zamieszkania,52.2147479,20.9692298,600.0,6.0,silikat,2018.0,23.0
1950,2400.0,65.0,3,blok,1,plastikowe,gazowe,do zamieszkania,52.19764,20.9063333,450.0,3.0,cegła,2000.0,34.0
1700,1700.0,35.0,1,blok,4,,miejskie,,,,,,cegła,2001.0,
2100,2800.0,32.0,1,blok,parter,plastikowe,miejskie,do zamieszkania,52.222482015907566,20.94103807144165,200.0,,,2018.0,27.0
4900,6000.0,105.0,3,blok,6,plastikowe,miejskie,do zamieszkania,52.242210662807814,20.98194872467041,,7.0,cegła,2008.0,27.0
1600,1400.0,26.0,1,dom wolnostojący,parter,plastikowe,gazowe,do zamieszkania,52.2642657,20.8999016,,1.0,cegła,2015.0,45.0
2000,2000.0,30.0,1,blok,10,,miejskie,,52.22587632161299,21.038800185421,,10.0,,1970.0,19.0
3900,,80.0,3,blok,9,drewniane,miejskie,do zamieszkania,52.23338,20.957179999999997,,9.0,,2013.0,41.0
2200,4800.0,42.0,2,blok,4,,miejskie,,52.30490535150479,20.929688564224247,,5.0,,,43.0
2200,,38.5,2,,1,,,do zamieszkania,,,,7.0,,2010.0,
2999,5000.0,34.0,1,kamienica,4,plastikowe,miejskie,,,,,6.0,cegła,1955.0,
9000,,83.0,2,apartamentowiec,4,drewniane,miejskie,,52.2414352,21.028086399999996,,5.0,cegła,2012.0,21.0
2790,3500.0,44.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,52.164919171690855,20.994186909790038,1.0,5.0,pustak,2019.0,44.0
2900,,65.78,2,kamienica,1,drewniane,miejskie,do zamieszkania,52.218598,21.014572100000002,,4.0,cegła,1901.0,18.0
2700,2600.0,49.0,2,apartamentowiec,2,,,do zamieszkania,52.23628,21.0051,,9.0,,2003.0,11.0
2550,5000.0,60.0,3,blok,6,plastikowe,miejskie,,52.24091,20.91133,1.0,11.0,wielka płyta,,36.0
4000,,81.07,3,blok,6,drewniane,miejskie,do zamieszkania,52.197530437246996,21.045139218247,,6.0,inne,2007.0,34.0
2900,2900.0,45.0,2,,4,plastikowe,miejskie,do zamieszkania,52.234761999999996,21.096221,,4.0,inne,2018.0,31.0
8000,,94.2,3,apartamentowiec,2,,,,,,,6.0,,,
2000,,61.52,2,kamienica,3,plastikowe,miejskie,do zamieszkania,,,,4.0,cegła,1934.0,
2200,2200.0,28.0,1,kamienica,3,plastikowe,miejskie,do zamieszkania,,,,3.0,cegła,,
6000,11000.0,82.0,2,apartamentowiec,> 10,plastikowe,miejskie,do zamieszkania,52.262078100000004,20.956188600000004,1000.0,15.0,inne,2006.0,42.0
2800,5000.0,52.6,2,blok,3,drewniane,miejskie,do zamieszkania,52.13482717299138,21.065285023803717,500.0,6.0,cegła,2001.0,38.0
2200,2500.0,54.0,2,blok,3,drewniane,miejskie,do zamieszkania,52.1595336927503,21.07822587672119,400.0,4.0,cegła,2009.0,42.0
2500,,75.0,3,szeregowiec,1,plastikowe,gazowe,do zamieszkania,,,,2.0,cegła,,
3800,,59.85,2,blok,3,drewniane,miejskie,do zamieszkania,,,,4.0,,2017.0,
2400,2400.0,37.0,2,,2,plastikowe,miejskie,do zamieszkania,52.274981499464815,20.96226532333984,,11.0,,2016.0,29.0
2900,,56.0,2,apartamentowiec,parter,,miejskie,do zamieszkania,,,700.0,5.0,cegła,2019.0,
4100,,86.0,3,apartamentowiec,3,,miejskie,do zamieszkania,,,800.0,5.0,inne,2015.0,
2000,,58.0,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,,,600.0,7.0,inne,2006.0,
2500,2900.0,47.0,2,blok,3,drewniane,miejskie,do zamieszkania,52.192378399999996,20.9961108,400.0,10.0,wielka płyta,1969.0,40.0
2800,3430.0,50.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.1442398,21.0177838,630.0,8.0,cegła,2008.0,37.0
3000,3500.0,71.0,3,blok,3,drewniane,miejskie,do zamieszkania,,,500.0,3.0,cegła,2001.0,
3200,3000.0,84.0,3,blok,3,drewniane,miejskie,do zamieszkania,52.2067404,20.8947776,800.0,3.0,żelbet,2014.0,39.0
16700,19500.0,131.5,3,,> 10,,miejskie,,52.231171999999994,21.0038329,2800.0,52.0,cegła,2017.0,2.45
8990,,64.0,2,,> 10,,inne,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
7990,8000.0,53.1,2,apartamentowiec,> 10,,miejskie,,52.23174470000001,20.9961082,,44.0,cegła,2014.0,11.0
8990,,57.1,2,,> 10,,miejskie,,52.23174470000001,20.9961082,,41.0,inne,2014.0,11.0
2500,2500.0,50.92,2,,1,,,,52.2620049,21.1635177,,2.0,,2019.0,32.0
2350,2800.0,50.0,2,blok,parter,plastikowe,miejskie,do zamieszkania,52.197852738859645,21.01135216890869,500.0,4.0,cegła,,21.0
2664,2664.0,56.0,2,apartamentowiec,1,drewniane,,,52.211276,21.06544,,3.0,,2009.0,34.0
2500,,50.0,2,,1,,,do zamieszkania,52.29337211333593,21.056608860913087,,3.0,,,45.0
2700,3500.0,35.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,52.24330055116754,20.980547851562488,400.0,7.0,cegła,2019.0,27.0
2300,2500.0,44.0,3,kamienica,1,plastikowe,gazowe,do zamieszkania,52.2048315,21.1710725,,2.0,cegła,2019.0,36.0
5000,,80.0,3,,1,,,,52.23464285,21.04787648,,3.0,,1930.0,27.0
2250,,36.0,1,blok,5,drewniane,miejskie,do zamieszkania,52.22650529999999,20.8904659,,7.0,,2016.0,46.0
9900,20000.0,129.0,5,apartamentowiec,7,plastikowe,miejskie,do zamieszkania,52.178882663403705,21.02906910676269,1000.0,7.0,cegła,2018.0,32.0
3900,,73.5,3,apartamentowiec,6,plastikowe,miejskie,do zamieszkania,52.1935028,20.9887336,,7.0,,2004.0,38.0
4500,,92.0,3,,3,,,,52.157869,21.0807072,,4.0,,2009.0,38.0
1900,,48.0,3,,4,,,,52.29003425,20.9431712,,4.0,,1970.0,37.0
2250,,52.0,2,,1,,,,52.1763584,20.991111800000002,,7.0,,2017.0,44.0
3200,,45.0,2,blok,parter,,,,52.248572700000004,21.00627422,,4.0,,1960.0,24.0
2800,2800.0,52.8,2,apartamentowiec,2,,,,,,1.0,4.0,,,
5500,,56.0,2,kamienica,1,,,do zamieszkania,,,,5.0,,1913.0,
5500,,52.0,2,kamienica,2,,,do zamieszkania,,,,4.0,,1912.0,
7500,,98.0,3,apartamentowiec,8,,,do zamieszkania,,,,9.0,,2016.0,
12000,,129.0,5,apartamentowiec,7,,,do zamieszkania,,,,7.0,,2018.0,
6500,,59.0,2,kamienica,parter,plastikowe,miejskie,do zamieszkania,,,,6.0,cegła,1913.0,
5300,,47.0,2,apartamentowiec,2,drewniane,miejskie,do zamieszkania,,,,4.0,cegła,2016.0,
5500,,44.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,,,,4.0,cegła,2016.0,
4100,,47.0,2,apartamentowiec,3,,miejskie,do zamieszkania,,,,7.0,,1999.0,
5900,,67.0,3,apartamentowiec,3,drewniane,miejskie,do zamieszkania,,,,8.0,cegła,2018.0,
4200,,50.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,,,,7.0,,2010.0,
16000,,231.0,6,apartamentowiec,3,drewniane,miejskie,do zamieszkania,,,,3.0,,2006.0,
2300,3000.0,52.0,2,kamienica,parter,plastikowe,miejskie,do zamieszkania,,,690.0,4.0,cegła,1913.0,
3000,,47.0,2,blok,1,plastikowe,miejskie,do zamieszkania,,,,9.0,cegła,1960.0,
9900,,133.0,4,apartamentowiec,1,drewniane,miejskie,do zamieszkania,,,,4.0,,2010.0,
6000,,100.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,,,,4.0,cegła,2004.0,
4500,,58.0,3,apartamentowiec,5,drewniane,miejskie,do zamieszkania,,,,6.0,,2018.0,
9000,,110.0,4,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,,,,5.0,,2013.0,
8000,,86.0,3,kamienica,3,plastikowe,miejskie,do zamieszkania,,,,3.0,cegła,1958.0,
5500,,67.0,3,apartamentowiec,6,drewniane,miejskie,do zamieszkania,,,,6.0,,2018.0,
4990,,93.0,4,apartamentowiec,5,drewniane,miejskie,do zamieszkania,,,,7.0,cegła,2006.0,
4900,,77.0,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,,,,4.0,cegła,2012.0,
9500,,95.0,3,apartamentowiec,5,drewniane,miejskie,do zamieszkania,,,,6.0,,2017.0,
4100,,86.0,3,,4,,,,52.218379999999996,21.01669,,4.0,,,20.0
5370,,99.4,3,apartamentowiec,2,drewniane,miejskie,,52.2522691,21.0033035,,4.0,cegła,2008.0,26.0
2900,,44.0,2,apartamentowiec,4,,,,52.2488151,21.0592568,,5.0,,2017.0,29.0
3600,,54.0,2,apartamentowiec,2,,,,52.214912,20.9688742,,6.0,,2017.0,23.0
3000,,40.0,2,apartamentowiec,5,,,do zamieszkania,52.238658799999996,20.9910672,,6.0,,2014.0,22.0
5500,,82.61,3,apartamentowiec,5,,,,52.2347408,20.9850027,,7.0,,2011.0,21.0
3200,,53.0,2,apartamentowiec,8,,,,52.2448502,20.978136499999998,,16.0,,2007.0,25.0
6500,,96.0,3,,5,,,,52.254295299999995,20.9842424,,12.0,,2000.0,21.0
4100,,49.0,2,,1,,,,52.23813,20.985848,,8.0,,2015.0,23.0
2450,2800.0,45.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.1673236,21.07323020000001,350.0,4.0,inne,2017.0,40.0
2900,,51.0,2,blok,1,,miejskie,,52.23284091,21.06044769,,5.0,,2008.0,16.0
2600,3000.0,44.0,2,blok,parter,plastikowe,miejskie,do zamieszkania,52.2895874,20.9291625,400.0,,,2016.0,31.0
1800,2300.0,60.0,2,blok,2,drewniane,kotłownia,do zamieszkania,52.3320224,20.9357309,523.0,4.0,,,56.0
2900,2900.0,50.0,3,,4,plastikowe,miejskie,do zamieszkania,52.23805,21.02935,,4.0,cegła,,23.0
2200,2600.0,39.0,2,apartamentowiec,parter,drewniane,miejskie,do zamieszkania,52.227943599999996,20.9586224,400.0,7.0,cegła,2019.0,15.0
4000,8000.0,125.0,5,blok,5,plastikowe,miejskie,do zamieszkania,52.25917379999999,20.961341100000002,600.0,6.0,cegła,1996.0,32.0
2700,,40.0,2,,1,,miejskie,do zamieszkania,52.1390341,21.0602711,,5.0,,2004.0,37.0
2500,3000.0,41.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,,,500.0,8.0,cegła,2015.0,
2400,2400.0,38.0,2,,1,plastikowe,,do zamieszkania,,,,4.0,,,
5500,,82.0,3,apartamentowiec,> 10,,,do zamieszkania,52.26072439,20.95993996,,15.0,,2006.0,38.0
5900,,109.1,więcej niż 10,apartamentowiec,8,plastikowe,miejskie,do zamieszkania,52.1896441,20.9894846,,12.0,inne,2010.0,41.0
4000,4000.0,100.0,4,,2,,,,52.1750141,21.0444328,,,,,35.0
5000,,80.0,3,apartamentowiec,1,drewniane,miejskie,,52.2060402,20.9960948,,,cegła,2006.0,28.0
4000,4000.0,55.0,2,apartamentowiec,,plastikowe,miejskie,,52.23402960000001,20.977031,,,cegła,,21.0
2500,2500.0,57.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.2591528,20.9362529,,5.0,cegła,2005.0,38.0
2100,2100.0,42.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,52.227943599999996,20.9586224,,6.0,cegła,,15.0
2100,,37.0,1,,,,,,,,510.0,,,2019.0,
6800,6800.0,160.0,5,dom wolnostojący,,plastikowe,gazowe,do zamieszkania,52.1378169,21.0252779,,,cegła,,48.0
2300,2500.0,32.0,1,apartamentowiec,2,,miejskie,do zamieszkania,,,50.0,,cegła,2017.0,
8000,,145.0,3,,7,drewniane,,,,,,11.0,,2010.0,
1400,1400.0,35.0,1,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.3458951,20.943476500000003,,6.0,cegła,,56.0
15000,,141.0,4,apartamentowiec,5,,miejskie,do zamieszkania,52.2409464,21.0261883,,6.0,,2011.0,23.0
2800,2800.0,66.0,2,apartamentowiec,parter,plastikowe,kotłownia,do zamieszkania,,,1.0,3.0,cegła,2009.0,
2000,2000.0,60.0,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,52.31791629999999,20.9801167,,6.0,cegła,,57.0
2990,,58.0,2,apartamentowiec,3,drewniane,miejskie,do zamieszkania,52.20723828825649,21.063071383819576,,4.0,cegła,2012.0,41.0
2200,2500.0,38.0,2,blok,> 10,plastikowe,miejskie,do zamieszkania,52.23614,21.00817,360.0,15.0,wielka płyta,1970.0,12.383333333333333
18000,,180.0,5,apartamentowiec,8,,,do zamieszkania,52.2035449,21.0248094,,8.0,,,28.0
4999,4999.0,67.0,3,apartamentowiec,6,drewniane,miejskie,do zamieszkania,,,,6.0,beton,2018.0,
8900,20000.0,136.0,5,apartamentowiec,parter,drewniane,gazowe,do zamieszkania,52.16776592925845,21.11042837036133,,2.0,,,50.0
1750,,20.0,1,blok,3,plastikowe,miejskie,,,,,4.0,,,
1800,1800.0,40.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.206348799999994,21.048878600000002,,4.0,cegła,,28.0
8500,,98.0,3,apartamentowiec,5,,miejskie,do zamieszkania,52.2346709,21.033952399999997,1000.0,6.0,,2017.0,14.0
2500,2500.0,38.0,2,kamienica,parter,plastikowe,elektryczne,do zamieszkania,,,,,cegła,1936.0,
3800,3000.0,55.0,3,blok,1,plastikowe,miejskie,do zamieszkania,52.1855391,21.0048773,,8.0,,2016.0,35.0
4000,,42.0,2,apartamentowiec,1,,miejskie,,52.233999999999995,20.976999999999997,,15.0,cegła,2019.0,21.0
2200,,25.0,1,blok,1,,miejskie,,52.2331,21.00176,,10.0,,1965.0,5.866666666666666
2800,,60.0,3,blok,1,,miejskie,,52.15979,21.03914,,3.0,,1980.0,44.0
2900,3000.0,61.4,3,kamienica,3,plastikowe,miejskie,do zamieszkania,52.24070938154407,20.99361978203125,,6.0,cegła,1951.0,18.0
2600,2600.0,29.0,2,blok,6,plastikowe,miejskie,do zamieszkania,,,,8.0,cegła,1966.0,
2600,2600.0,42.0,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.145366800152,21.05706673914796,,7.0,cegła,2019.0,42.0
4500,,43.0,2,apartamentowiec,2,,miejskie,do zamieszkania,52.2310219,21.0374508,,6.0,,2019.0,21.0
5000,,76.0,2,,2,drewniane,,,52.218525,20.992539999999998,,3.0,cegła,1923.0,21.0
2000,,24.0,1,,5,plastikowe,,,52.247743,20.98731,,7.0,,1975.0,21.0
3200,3500.0,94.0,3,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.254778418411945,20.984886872863775,650.0,10.0,cegła,2008.0,21.0
2200,2200.0,41.0,2,blok,parter,plastikowe,miejskie,do zamieszkania,52.2251494,21.035899,,10.0,wielka płyta,,15.0
3750,4000.0,83.0,4,blok,3,,miejskie,do zamieszkania,52.276004,21.046205900000018,300.0,5.0,,2015.0,34.0
3700,,63.0,3,apartamentowiec,1,plastikowe,,,,,,3.0,,2001.0,
3100,3000.0,40.0,2,blok,3,plastikowe,,,,,,15.0,,1975.0,
2400,,58.0,3,,1,plastikowe,,,,,460.0,4.0,,2008.0,
3700,5000.0,62.0,3,apartamentowiec,3,plastikowe,kotłownia,do zamieszkania,52.199153542488745,20.961016772274185,,3.0,cegła,2001.0,37.0
1500,,38.0,1,blok,2,plastikowe,miejskie,,52.225024299999994,21.104771,,4.0,,,33.0
2850,2850.0,44.85,2,kamienica,3,plastikowe,miejskie,do zamieszkania,52.2268976,21.0605216,450.0,3.0,cegła,1960.0,28.0
3200,,40.0,2,kamienica,1,,miejskie,,52.25073,21.03826,,3.0,,1897.0,26.0
3500,,62.0,3,apartamentowiec,8,,miejskie,,52.181020000000004,21.025389999999998,,10.0,,2006.0,25.0
2600,3000.0,44.0,2,,parter,,,,52.2895874,20.9291625,400.0,,,,31.0
13990,14000.0,77.1,2,,> 10,aluminiowe,miejskie,,52.2355919,21.0016536,,44.0,inne,2014.0,
2500,2500.0,55.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.233838399999996,21.081776,1.0,10.0,wielka płyta,,33.0
1900,3000.0,40.0,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,,,380.0,4.0,cegła,2005.0,
4500,4500.0,60.0,3,apartamentowiec,4,drewniane,miejskie,do zamieszkania,52.185884253140046,20.99012199786315,1.0,5.0,,2018.0,38.0
2450,2850.0,40.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,,,400.0,8.0,cegła,2016.0,
3300,,40.0,2,kamienica,1,,miejskie,,52.25073,21.03826,,3.0,,1897.0,26.0
1700,,28.0,1,blok,8,,miejskie,,52.19865,20.982020000000002,,10.0,,1970.0,29.0
5000,,58.0,2,apartamentowiec,3,,miejskie,do zamieszkania,52.186962,21.021859,,5.0,,2018.0,30.0
3000,3600.0,84.0,4,,9,drewniane,miejskie,,52.165803000000004,21.015329,600.0,13.0,inne,2004.0,40.0
3300,3000.0,62.5,3,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.171751719563645,21.0146375888855,200.0,2.0,cegła,,37.0
2000,2000.0,35.0,1,blok,7,plastikowe,miejskie,do zamieszkania,52.1442398,21.0177838,,10.0,cegła,,37.0
2200,,26.7,2,,> 10,,,,52.23725,20.99723,,15.0,,1969.0,15.0
2100,2500.0,52.38,2,,3,,miejskie,,52.282379999999996,21.06537,520.0,3.0,,,41.0
2500,2500.0,40.0,2,blok,> 10,plastikowe,miejskie,do zamieszkania,,,1.0,15.0,inne,1986.0,
3980,3900.0,80.0,3,blok,9,plastikowe,miejskie,do zamieszkania,52.2405324153234,20.983120266748045,,10.0,cegła,2001.0,25.0
4600,,64.0,3,apartamentowiec,5,,,do zamieszkania,52.2345805,21.0163003,300.0,,,,17.0
2800,3500.0,53.0,2,kamienica,1,,miejskie,do zamieszkania,,,,3.0,cegła,1947.0,
2000,2400.0,35.0,1,kamienica,parter,plastikowe,miejskie,do zamieszkania,52.22696271424985,21.03926556289063,400.0,1.0,cegła,,21.0
3900,,80.0,3,,9,,,,52.2210746,20.9305344,,9.0,,2013.0,32.0
3400,3400.0,42.0,2,apartamentowiec,3,drewniane,miejskie,do zamieszkania,52.23080093416075,20.97796896826172,,13.0,cegła,2019.0,16.0
1700,,20.0,1,kamienica,2,,miejskie,do zamieszkania,52.2224643,21.0200077,,6.0,cegła,1965.0,18.0
2400,,22.7,1,blok,9,,,,52.230527,21.010752,,,,,8.0
3400,,65.0,2,apartamentowiec,1,,,,52.25435595,20.99163613,,4.0,,2008.0,24.0
3900,,49.0,2,apartamentowiec,1,,,,52.1908943,21.0172117,,,,2016.0,22.0
12000,,127.0,5,apartamentowiec,7,,,,52.25874455,20.97085612,,7.0,,,37.0
