Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
2900,2900.0,50.0,2,blok,1,plastikowe,miejskie,do zamieszkania,52.2055051,21.0349892,100.0,4.0,cegła,,26.0
2300,2300.0,54.0,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,52.178303,21.0588332,,6.0,,,36.0
2500,2500.0,52.0,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,52.273839320543864,21.07978732299805,1.0,3.0,pustak,2019.0,47.0
1950,2000.0,30.0,1,blok,8,plastikowe,miejskie,do zamieszkania,52.2357172,21.0052947,,15.0,cegła,,9.0
2100,2100.0,45.4,2,blok,2,plastikowe,miejskie,do zamieszkania,52.336307500000004,20.939474899999997,,6.0,cegła,2005.0,58.0
2000,2000.0,60.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.31791629999999,20.9801167,,4.0,cegła,,57.0
3000,3000.0,75.0,4,blok,6,plastikowe,miejskie,do zamieszkania,52.1734402,21.0281332,,10.0,cegła,,25.0
3000,3000.0,52.0,2,apartamentowiec,4,drewniane,miejskie,do zamieszkania,52.23614,21.00817,400.0,7.0,cegła,2007.0,12.383333333333333
2750,,44.0,2,apartamentowiec,3,drewniane,miejskie,do zamieszkania,52.15613,21.111629999999998,,4.0,cegła,2016.0,62.0
3000,3000.0,60.0,2,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.195380799999995,21.025712600000002,,6.0,cegła,,31.0
2100,2700.0,62.0,2,blok,1,drewniane,miejskie,do zamieszkania,,,600.0,3.0,,2009.0,
2250,2250.0,50.0,2,blok,4,drewniane,miejskie,do zamieszkania,52.1986108,21.046426399999998,530.0,6.0,cegła,2008.0,30.0
2200,,45.0,2,blok,2,plastikowe,miejskie,,52.2443969,20.9820228,,5.0,,,27.0
1950,1950.0,32.0,1,blok,7,plastikowe,miejskie,,52.1442398,21.0177838,,8.0,cegła,,35.0
2682,8048.78,42.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.26549662357778,20.946450920614573,,8.0,żelbet,2018.0,35.0
2700,3200.0,34.0,1,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,,,500.0,10.0,cegła,2019.0,
17000,,100.0,2,apartamentowiec,> 10,,miejskie,do zamieszkania,52.231171999999994,21.0038329,,52.0,beton,2017.0,2.45
16700,20000.0,131.0,3,,> 10,,miejskie,,52.231171999999994,21.0038329,2800.0,52.0,cegła,2017.0,2.45
16000,,100.0,2,,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
3500,3500.0,87.0,3,kamienica,1,plastikowe,miejskie,do zamieszkania,52.236687700000004,21.233267,,3.0,cegła,,58.0
1900,1900.0,42.0,2,blok,4,plastikowe,kotłownia,do zamieszkania,52.2265092,20.959464999999998,,8.0,beton komórkowy,2000.0,18.0
2300,2300.0,35.0,2,blok,3,,,do zamieszkania,52.247878299999996,21.0636172,,7.0,,,31.0
17000,,100.0,2,blok,> 10,,miejskie,,52.23113,21.002470000000002,,52.0,,2017.0,4.1
2900,,51.0,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,52.23236184,21.06405651,,5.0,,2008.0,22.0
2700,,39.0,2,blok,4,,,do zamieszkania,52.190180657101344,20.911711046093753,223.0,7.0,,2015.0,36.0
3200,,57.0,3,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.2291651,20.978002800000002,,8.0,cegła,2019.0,13.0
7000,,105.0,4,kamienica,1,drewniane,miejskie,do zamieszkania,,,,4.0,cegła,1931.0,
5000,,84.5,4,kamienica,3,plastikowe,miejskie,do zamieszkania,,,700.0,4.0,cegła,1950.0,
3300,3300.0,38.0,2,apartamentowiec,2,plastikowe,,do zamieszkania,52.22655038961312,20.956691209509273,,,,2019.0,22.0
1950,,46.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,,,,6.0,cegła,2009.0,
1860,,30.0,1,,parter,,,,52.221388,20.932308300000003,,6.0,,2015.0,32.0
3500,3500.0,63.0,3,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.222847352228605,20.94010101481933,,7.0,silikat,2017.0,29.0
2600,,85.0,3,,3,,,,52.242337899999995,20.9102085,,8.0,,2008.0,34.0
3500,7000.0,39.0,2,blok,2,drewniane,miejskie,do zamieszkania,52.25852104414045,20.9710587512207,,6.0,,,36.0
2400,2500.0,55.0,2,blok,1,plastikowe,miejskie,do zamieszkania,52.3299565,20.951924899999998,470.0,2.0,,2012.0,61.0
1850,1850.0,29.0,1,blok,3,plastikowe,miejskie,do zamieszkania,52.26718437066225,20.975518108984378,0.01,10.0,wielka płyta,1966.0,29.0
2400,2000.0,35.0,2,blok,4,plastikowe,miejskie,do zamieszkania,52.21447519,20.96998662,,4.0,cegła,,25.0
2000,2000.0,36.0,2,blok,3,,,do zamieszkania,52.247068,21.1016718,,4.0,,,37.0
2300,2300.0,51.0,2,blok,parter,,,do zamieszkania,52.2314071,21.072052399999997,,3.0,,1960.0,28.0
8500,8500.0,53.0,2,apartamentowiec,> 10,,miejskie,,52.23485170000001,21.0007633,,44.0,inne,2014.0,9.0
6000,,40.0,1,,8,,miejskie,,52.23174470000001,20.9961082,,44.0,inne,2014.0,11.0
21000,,135.0,3,apartamentowiec,> 10,,miejskie,do zamieszkania,52.231171999999994,21.0038329,,54.0,beton,2017.0,2.45
48000,,236.0,4,,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
11000,,64.0,2,,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
27000,,154.0,3,,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
9000,18000.0,63.0,2,,> 10,,inne,,52.2310961,21.0034582,,52.0,inne,2017.0,3.0833333333333335
9900,,103.0,2,,> 10,,miejskie,,52.231171999999994,21.0038329,3100.0,52.0,cegła,2017.0,2.45
16000,,90.0,2,,> 10,aluminiowe,miejskie,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
2300,1000.0,45.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,52.14339864476499,21.10515962814582,530.0,3.0,żelbet,2012.0,56.0
4400,,75.0,3,apartamentowiec,1,drewniane,,do zamieszkania,,,,6.0,,2013.0,
2200,2500.0,21.0,1,apartamentowiec,6,plastikowe,miejskie,do zamieszkania,,,300.0,,,2019.0,
