Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
519000.0,52.0,2,wtórny,blok,parter,5.0,,plastikowe,2009.0,,500 zł,pełna własność,,,miejskie,
899000.0,87.3,3,wtórny,,parter,4.0,cegła,plastikowe,2007.0,,950 zł,spółdzielcze własnościowe,,,miejskie,
765000.0,60.64,2,wtórny,apartamentowiec,1,5.0,cegła,,2018.0,,,pełna własność,,,miejskie,
1059000.0,89.06,4,wtórny,apartamentowiec,1,5.0,cegła,,2018.0,,,pełna własność,,,miejskie,
449000.0,46.3,3,wtórny,blok,3,3.0,cegła,plastikowe,,do remontu,,pełna własność,52.23865876443215,21.059437116394047,miejskie,23.0
466000.0,67.08,4,pierwotny,,parter,3.0,,plastikowe,2020.0,,,pełna własność,52.2651693,21.148489899999998,,41.0
274980.0,19.8,1,wtórny,blok,5,10.0,inne,plastikowe,1970.0,do zamieszkania,180 zł,pełna własność,52.268190999999995,20.958571600000003,miejskie,32.0
1590000.0,111.02,5,wtórny,kamienica,3,6.0,cegła,,1937.0,do remontu,850 zł,pełna własność,52.231171999999994,21.0038329,inne,2.45
799000.0,78.26,3,wtórny,,1,6.0,inne,,2008.0,do zamieszkania,700 zł,pełna własność,52.182743200000004,21.0455497,inne,34.0
630000.0,67.0,3,wtórny,szeregowiec,1,1.0,cegła,plastikowe,1991.0,do zamieszkania,"0,01 zł",pełna własność,,,gazowe,
1960000.0,163.0,4,wtórny,apartamentowiec,parter,4.0,cegła,drewniane,2012.0,do zamieszkania,,pełna własność,52.1731478824023,21.048633299097354,miejskie,35.0
920000.0,86.9,4,wtórny,blok,6,6.0,,drewniane,2012.0,,800 zł,pełna własność,52.23098158278407,20.933606195228087,miejskie,40.0
499000.0,47.01,3,wtórny,blok,3,4.0,wielka płyta,plastikowe,1975.0,do zamieszkania,540 zł,pełna własność,,,miejskie,
579000.0,53.07,2,wtórny,blok,4,4.0,,plastikowe,2014.0,do zamieszkania,550 zł,pełna własność,52.231675020391094,20.889700495275875,miejskie,47.0
699000.0,66.57,3,wtórny,apartamentowiec,> 10,17.0,cegła,plastikowe,2019.0,do zamieszkania,500 zł,pełna własność,52.2340627,21.102957,miejskie,37.0
588000.0,60.0,3,wtórny,blok,2,3.0,wielka płyta,plastikowe,,do zamieszkania,700 zł,spółdzielcze wł. z KW,52.1440582,21.060300100000003,miejskie,42.0
549000.0,46.15,2,wtórny,kamienica,,,cegła,plastikowe,,do zamieszkania,300 zł,pełna własność,52.248859491953624,21.07802123561504,miejskie,33.0
540000.0,72.0,3,pierwotny,blok,3,3.0,cegła,plastikowe,2001.0,do zamieszkania,750 zł,spółdzielcze wł. z KW,52.31837096515451,20.95582974702148,miejskie,51.0
